Dataset,Rows,Columns,Duplicate_Rows,Total_Missing_Values
Coverage,399859,11,0,812024
Incidence Rate,84946,8,0,23368
Reported Cases,84870,7,0,19405
Vaccine Introduction,138321,6,0,5
Vaccine Schedule,8053,12,0,8256
