,count,mean,std,min,25%,50%,75%,max,missing_values,missing_percentage
YEAR,399858.0,2009.2074886584737,11.720530440768917,1980.0,2002.0,2012.0,2019.0,2023.0,0,0.0
TARGET_NUMBER,79030.0,278019173.7595161,54152442883.35423,0.0,32814.0,317871.5,2493048.0,11700000000000.0,320828,80.23548359667681
DOSES,79319.0,3470393.5749003394,11228707.61552225,0.0,14472.0,152232.0,971232.5,126605212.0,320539,80.16320793881829
COVERAGE,225380.0,77.10055821279617,26.391773758585888,0.0,69.0,88.0,96.0,100.0,174478,43.63499042159967
