,count,mean,std,min,25%,50%,75%,max,missing_values,missing_percentage
YEAR,84869.0,2004.108260966902,12.591396226094872,1980.0,1994.0,2005.0,2015.0,2023.0,0,0.0
CASES,65470.0,4472.408568810142,61144.55025613903,0.0,0.0,1.0,63.0,4583555.0,19399,22.857580506427553
