,count,mean,std,min,25%,50%,75%,max,missing_values,missing_percentage
YEAR,84945.0,2004.0957913944317,12.59516587229876,1980.0,1994.0,2005.0,2015.0,2023.0,0,0.0
DENOMINATOR,0.0,,,,,,,,84945,100.0
INCIDENCE_RATE,61584.0,109.44878052740972,992.2769829824391,0.0,0.0,0.0,4.6,69101.3,23361,27.50132438636765
