Vaccine,Average_Coverage
DTPCV1,88.98931742215446
PCV1,85.59391479985311
MEN_ACYW_CONJ,84.43363636363637
IPV1,84.29658480268682
PCV2,83.74400226329688
BCG,83.44253120221006
DIPHCV4,83.20033730158731
PERCV4,82.86628140703517
HIB3,82.39063807439825
RCV1,82.23527701911823
TTCV4,82.02581202487906
HEPB3,81.73917709815079
HEPB_BDALL,81.33238026124819
POL3,80.7131836919779
DTPCV3,80.14199852022361
